"ID"	"order"
"TP0441"	"Malpighiales"
"TP0442"	"Malpighiales"
"TP0443"	"Malpighiales"
"TP0444"	"Celastrales"
"TP0445"	"Celastrales"
"TP0446"	"Cucurbitales"
"TP0447"	"Cucurbitales"
"TP0448"	"Cucurbitales"
"TP0449"	"Cucurbitales"
"TP0450"	"Solanales"
"TP0451"	"Liliales"
"TP0452"	"Fabales"
"TP0453"	"Fabales"
"TP0454"	"Polypodiales"
"TP0455"	"Polypodiales"
"TP0456"	"Polypodiales"
"TP0457"	"Polypodiales"
"TP0458"	"Polypodiales"
"TP0459"	"Polypodiales"
"TP0460"	"Polypodiales"
"TP0461"	"Polypodiales"
"TP0462"	"Polypodiales"
"TP0463"	"Polypodiales"
"TP0464"	"Polypodiales"
"TP0465"	"Cucurbitales"
"TP0466"	"Cucurbitales"
"TP0470"	"Celastrales"
"TP0471"	"Celastrales"
"TP0472"	"Celastrales"
"TP0473"	"Celastrales"
"TP0474"	"Celastrales"
"TP0475"	"Celastrales"
"TP0476"	"Apiales"
"TP0477"	"Apiales"
"TP0478"	"Apiales"
"TP0481"	"Asterales"
"TP0482"	"Gentianales"
"TP0483"	"Fabales"
"TP0484"	"Apiales"
"TP0485"	"Ericales"
"TP0486"	"Lamiales"
"TP0487"	"Lamiales"
"TP0488"	"Asterales"
"TP0489"	"Fabales"
"TP0490"	"Asterales"
"TP0491"	"Asterales"
"TP0492"	"Asterales"
"TP0493"	"Asterales"
"TP0494"	"Myrtales"
"TP0495"	"Myrtales"
"TP0496"	"Myrtales"
"TP0497"	"Myrtales"
"TP0498"	"Solanales"
"TP0499"	"Solanales"
"TP0500"	"Solanales"
"TP0506"	"Fagales"
"TP0507"	"Fagales"
"TP0508"	"Fagales"
"TP0509"	"Cucurbitales"
"TP0510"	"Asterales"
"TP0511"	"Asterales"
"TP0512"	"Asterales"
"TP0513"	"Asterales"
"TP0514"	"Asterales"
"TP0515"	"Poales"
"TP0516"	"Poales"
"TP0517"	"Asterales"
"TP0518"	"Asterales"
"TP0519"	"Asterales"
"TP0520"	"Rosales"
"TP0521"	"Asterales"
"TP0522"	"Asterales"
"TP0523"	"Asterales"
"TP0524"	"Asterales"
"TP0525"	"Celastrales"
"TP0526"	"Brassicales"
