type	name	pathway	substrate_scaffold	function	uniprot	ncbiprotein	pubmed	doi	note
OSC	LAS1|LSS	steroid		lanosterol synthase	Q1G1A4		16445886		
OSC	OSC7	steroid		lanosterol synthase	Q1ERD3		16531457		
OSC	PNZ	steroid		lanosterol synthase	O82141		16531458		
OSC	ACX	steroid		cycloartenol synthase	A8R7G3		18154734		
OSC	CAS1	steroid		cycloartenol synthase	P38605		7505443		
OSC	BPX	steroid		cycloartenol synthase	Q8W3Z4		12736505		
OSC	BPX2	steroid		cycloartenol synthase	Q8W3Z3		12736505		
OSC	CSOSC1	steroid		cycloartenol synthase	Q8VWY4		11995928		
OSC	CPX	steroid		cycloartenol synthase	Q6BE25			10.1016/j.tet.2004.04.088	
OSC	GgCAS1	steroid		cycloartenol synthase	Q9SXV6		10706391		
OSC	KdCAS	steroid		cycloartenol synthase	E2IUB0		20610397		
OSC	KcCAS	steroid		cycloartenol synthase	A7BJ36		17617700		
OSC	OSC5	steroid		cycloartenol synthase	Q2WGL6			10.1016/j.plantsci.2005.08.027	
OSC	LcCAS1	steroid		cycloartenol synthase	Q9SLP9		11733028		
OSC	OsOSC1	steroid		cycloartenol synthase	Q6Z2X6		21526825		
OSC	PNX	steroid		cycloartenol synthase	O82139		9746369		
OSC	CASPEA	steroid		cycloartenol synthase	O23909		9255418		
OSC	RsCAS	steroid		cycloartenol synthase	A7BJ35		17617700		
OSC	RcCAS	steroid		cycloartenol synthase	Q2XPU6		16445885		
OSC	LsOSC5	steroid		cycloartenol synthase	A0A3S9W0N1		30472753		
OSC	CPQ	triterpenoid		cucurbitadienol synthase	Q6BE24			10.1016/j.tet.2004.04.088	
OSC	SgCbQ	triterpenoid		cucurbitadienol synthase	K7NBZ9		25759326		
OSC	OsOSC2	triterpenoid		parkeol synthase	H2KWF1		21526825		
OSC	OsOSC6	triterpenoid		achilleol B synthase	Q2R712		21526825		
OSC	OEA	triterpenoid		α-amyrin synthase	A5LHW8		17473469		
OSC	MdOSC1	triterpenoid		α-amyrin synthase	C7SCX0		21575133		
OSC	MdOSC3	triterpenoid		α-amyrin synthase	C7SCX2		27214242		
OSC	OSC9	triterpenoid		α-amyrin synthase		BBK68801.1	31418782		
OSC	CqOSC11	triterpenoid		α-amyrin synthase		XP_021715857.1	37904576		
OSC	LUP5-P	triterpenoid		α-amyrin synthase	A0A0U2THX5		26333142		
OSC	CaDDS	triterpenoid		α-amyrin synthase|dammarenediol-II synthase	Q6QZW8		24434554,19796960		α-amyrin:β-amyrin:dammarenediol-II = 88:11:1 (pubmed:24434554)|dammarenediol-II synthase (pubmed:19796960)
OSC	CrAS	triterpenoid		α-amyrin synthase	I1Z9G0		22837051		
OSC	LsOSC2	triterpenoid		α-amyrin synthase	A0A3S9W0L0		30472753		
OSC	LUP4|AtBAS	triterpenoid		β-amyrin synthase	B6EXY6		18977664		
OSC	AaBAS	triterpenoid		β-amyrin synthase	B1P7H3		18336574		
OSC	AsOXA1	triterpenoid		β-amyrin synthase	Q5D7Q8			10.1016/j.plantsci.2008.04.004	
OSC	AsbAS1|Sad1	triterpenoid		β-amyrin synthase	Q93WU1		11606766		
OSC	BPY	triterpenoid		β-amyrin synthase	Q8W3Z1		12736505		
OSC	BgbAS	triterpenoid		β-amyrin synthase	A8CDT2		17803686		
OSC	EtAS	triterpenoid		β-amyrin synthase	Q401R6		16005035		
OSC	GgbAS1	triterpenoid		β-amyrin synthase	Q9MB42		11510484		
OSC	OSC1	triterpenoid		β-amyrin synthase	Q2WGL8			10.1016/j.plantsci.2005.08.027	
OSC	MtAMY1	triterpenoid		β-amyrin synthase	Q84PE3		12683345		
OSC	NsβAS1	triterpenoid		β-amyrin synthase	B5TTV1		19282005		
OSC	PNY	triterpenoid		β-amyrin synthase	O82140		9746369		
OSC	PSY	triterpenoid		β-amyrin synthase	Q9LRH8		10848960		
OSC	SlTTS1	triterpenoid		β-amyrin synthase	E7DN63		21059824		
OSC	SvBS	triterpenoid		β-amyrin synthase	A3E7Y8		17172290		
OSC	CqbAS1	triterpenoid		β-amyrin synthase	A0A1B2AS17		27457995		
OSC	CqOSC1|CqbAS1	triterpenoid		β-amyrin synthase		XP_021761982.1	37904576		
OSC	CqOSC6|CqbAS2	triterpenoid		β-amyrin synthase		XP_021720271.1	37904576		
OSC	LUP5-G	triterpenoid		β-amyrin synthase	A0A0U2U4F3		26333142		
OSC	EsBAS	triterpenoid		β-amyrin synthase	A0A1P8W708		36952412		
OSC	LsOSC3	triterpenoid		β-amyrin synthase	A0A3S9W0K3		30472753		
OSC	LsOSC4	triterpenoid		β-amyrin synthase	A0A3S9W0K9		30472753		
OSC	SlTTS2	triterpenoid		δ-amyrin synthase	E7DN64		21059824		
OSC	BPW	triterpenoid		lupeol synthase	Q8W3Z2		12736505		
