"ID"	"order"
"TP0028"	"Fabales"
"TP0029"	"Caryophyllales"
"TP0050"	"Caryophyllales"
"TP0051"	"Caryophyllales"
"TP0066"	"Caryophyllales"
"TP0078"	"Poales"
"TP0089"	"Sapindales"
"TP0091"	"Sapindales"
"TP0093"	"Caryophyllales"
"TP0103"	"Poales"
"TP0106"	"Poales"
"TP0109"	"Sapindales"
"TP0111"	"Sapindales"
"TP0114"	"Sapindales"
"TP0133"	"Poales"
"TP0143"	"Caryophyllales"
"TP0149"	"Celastrales"
"TP0162"	"Sapindales"
"TP0163"	"Sapindales"
"TP0164"	"Sapindales"
"TP0165"	"Sapindales"
"TP0179"	"Dioscoreales"
"TP0197"	"Fabales"
"TP0200"	"Dioscoreales"
"TP0202"	"Dioscoreales"
"TP0205"	"Brassicales"
"TP0206"	"Brassicales"
"TP0215"	"Apiales"
"TP0250"	"Fabales"
"TP0258"	"Caryophyllales"
"TP0259"	"Fabales"
"TP0262"	"Celastrales"
"TP0267"	"Fabales"
"TP0272"	"Sapindales"
"TP0274"	"Sapindales"
"TP0275"	"Aquifoliales"
"TP0283"	"Apiales"
"TP0315"	"Caryophyllales"
"TP0316"	"Fabales"
"TP0317"	"Fabales"
"TP0318"	"Fabales"
"TP0319"	"Fabales"
"TP0320"	"Fabales"
"TP0326"	"Caryophyllales"
"TP0327"	"Fabales"
"TP0328"	"Caryophyllales"
"TP0329"	"Caryophyllales"
"TP0332"	"Fabales"
"TP0333"	"Fabales"
"TP0351"	"Caryophyllales"
"TP0352"	"Caryophyllales"
"TP0354"	"Fabales"
"TP0357"	"Fabales"
"TP0358"	"Fabales"
"TP0364"	"Asterales"
"TP0365"	"Sapindales"
"TP0366"	"Sapindales"
"TP0367"	"Sapindales"
"TP0369"	"Sapindales"
"TP0370"	"Sapindales"
"TP0371"	"Caryophyllales"
"TP0414"	"Sapindales"
"TP0416"	"Sapindales"
"TP0417"	"Sapindales"
"TP0418"	"Sapindales"
"TP0419"	"Sapindales"
"TP0420"	"Sapindales"
"TP0421"	"Sapindales"
"TP0422"	"Sapindales"
"TP0436"	"Solanales"
