"ID"	"order"
"TP0001"	"Brassicales"
"TP0002"	"Fabales"
"TP0003"	"Apiales"
"TP0004"	"Polypodiales"
"TP0005"	"Brassicales"
"TP0006"	"Fagales"
"TP0007"	"Fagales"
"TP0008"	"Zingiberales"
"TP0009"	"Cucurbitales"
"TP0010"	"Fabales"
"TP0011"	"Saxifragales"
"TP0012"	"Malpighiales"
"TP0013"	"Fabales"
"TP0014"	"Cucurbitales"
"TP0015"	"Poales"
"TP0016"	"Apiales"
"TP0017"	"Fabales"
"TP0018"	"Malpighiales"
"TP0019"	"Malpighiales"
"TP0020"	"Myrtales"
"TP0021"	"Cucurbitales"
"TP0022"	"Cucurbitales"
"TP0023"	"Poales"
"TP0024"	"Poales"
"TP0025"	"Lamiales"
"TP0026"	"Rosales"
"TP0027"	"Rosales"
"TP0030"	"Brassicales"
"TP0031"	"Apiales"
"TP0032"	"Gentianales"
"TP0033"	"Myrtales"
"TP0034"	"Brassicales"
"TP0035"	"Asterales"
"TP0036"	"Asterales"
"TP0037"	"Poales"
"TP0038"	"Fagales"
"TP0039"	"Malpighiales"
"TP0040"	"Malpighiales"
"TP0041"	"Fabales"
"TP0042"	"Fabales"
"TP0043"	"Fabales"
"TP0044"	"Ranunculales"
"TP0045"	"Apiales"
"TP0046"	"Fabales"
"TP0047"	"Solanales"
"TP0048"	"Caryophyllales"
"TP0049"	"Caryophyllales"
"TP0052"	"Brassicales"
"TP0053"	"Apiales"
"TP0054"	"Myrtales"
"TP0055"	"Myrtales"
"TP0056"	"Solanales"
"TP0057"	"Fagales"
"TP0058"	"Malpighiales"
"TP0059"	"Fabales"
"TP0060"	"Saxifragales"
"TP0061"	"Fabales"
"TP0062"	"Lamiales"
"TP0063"	"Malpighiales"
"TP0064"	"Asterales"
"TP0065"	"Brassicales"
"TP0067"	"Brassicales"
"TP0068"	"Brassicales"
"TP0069"	"Rosales"
"TP0070"	"Myrtales"
"TP0071"	"Brassicales"
"TP0072"	"Brassicales"
"TP0073"	"Asterales"
"TP0074"	"Saxifragales"
"TP0075"	"Saxifragales"
"TP0076"	"Saxifragales"
"TP0077"	"Cucurbitales"
"TP0079"	"Apiales"
"TP0080"	"Asterales"
"TP0081"	"Brassicales"
"TP0082"	"Brassicales"
"TP0083"	"Malpighiales"
"TP0084"	"Rosales"
"TP0085"	"Malpighiales"
"TP0086"	"Brassicales"
"TP0087"	"Brassicales"
"TP0088"	"Sapindales"
"TP0090"	"Sapindales"
"TP0092"	"Brassicales"
"TP0094"	"Brassicales"
"TP0095"	"Fabales"
"TP0096"	"Brassicales"
"TP0097"	"Zingiberales"
"TP0098"	"Malpighiales"
"TP0099"	"Fabales"
"TP0100"	"Poales"
"TP0101"	"Brassicales"
"TP0102"	"Poales"
"TP0104"	"Poales"
"TP0105"	"Poales"
"TP0107"	"Poales"
"TP0108"	"Brassicales"
"TP0110"	"Sapindales"
"TP0112"	"Sapindales"
"TP0113"	"Sapindales"
"TP0115"	"Fabales"
"TP0116"	"Lamiales"
"TP0117"	"Fabales"
"TP0118"	"Fabales"
"TP0119"	"Fabales"
"TP0120"	"Fabales"
"TP0121"	"Fabales"
"TP0122"	"Fabales"
"TP0123"	"Fabales"
"TP0124"	"Fabales"
"TP0125"	"Fabales"
