ID	type	name	pathway	skeleton	function	uniprot	ncbiprotein	pubmed	note
TP0441	OSC	ElLAS1	steroid		lanosterol synthase	A0A482KIA0		30886213	
TP0442	OSC	ElBUT1	triterpenoid	butyrospermol	butyrospermol synthase	A0A482KG33		30886213	
TP0443	OSC	ElCAS1	steroid		cycloartenol synthase	A0A482KHM6		30886213	
TP0444	OSC	MiCAS1	steroid		cycloartenol synthase	A0A1L3HE28		27874020	
TP0445	OSC	MiFRS	triterpenoid	friedelin	friedelin synthase	A0A1L3HE30		27874020	
TP0446	OSC	McCBS	triterpenoid	cucurbitadienol	cucurbitadienol synthase	A0A5A4WLU4		30317922	
TP0447	OSC	McIMS	triterpenoid	isomultiflorenol	isomultiflorenol synthase	A0A5A4WQI6		30317922	
TP0448	OSC	McBAS	triterpenoid	β-amyrin	β-amyrin synthase	A0A5A4WLT5		30317922	
TP0449	OSC	McCAS	steroid		cycloartenol synthase	A0A5A4WLY7		30317922	
TP0450	OSC	NtCAS1	steroid		cycloartenol synthase	A0A0A1ENJ0		25343375	
TP0451	OSC	PpCAS	steroid		cycloartenol synthase	A0A6G8MZ72		32138546	
TP0452	OSC	PtCAS1	steroid		cycloartenol synthase	A9QW75		29140303	
TP0453	OSC	PtCAS2	steroid		cycloartenol synthase	A9QW77		29140303	
TP0454	OSC	PnCAS	steroid		cycloartenol synthase	D0G7G5		20082400	
TP0455	*SC	PNT			tirucalladiene synthase	D0G7G3		20082400	cyclization of squalene
TP0456	*SC	PNG			germanicene synthase	D0G7G4		20082400	cyclization of squalene
TP0457	OSC	PPX	steroid		cycloartenol synthase	A0A3G9EEY2		30042370	
TP0458	*SC	PPH			22-hydroxyhopane synthase	A0A3G9ELI1		30042370	cyclization of squalene
TP0459	*SC	ACH			22-hydroxyhopane synthase	A8R7G4		18154734	cyclization of squalene
TP0460	*SC	DCD			dammaradiene synthase	B3Y522		18790509	cyclization of squalene
TP0461	*SC	CEH1			hopene synthase	A0A0T7AQA9		26731047	cyclization of squalene
TP0462	*SC	CEH2			hopene synthase	A0A0T7AQB0		26731047	cyclization of squalene
TP0463	*SC	CEP			α-polypodatetraene synthase	A0A0T7AQB1		26731047	cyclization of squalene
TP0464	*SC	CPH			hop-17(21)-ene synthase	A0A0T7AQB2		26731047	cyclization of squalene
TP0465	OSC	TcCBS	triterpenoid	cucurbitadienol	cucurbitadienol synthase	A0A8U0LS55		34228189	
TP0466	OSC	TcIMS	triterpenoid	isomultiflorenol	isomultiflorenol synthase	A0A8U0LSG0		34228189	
TP0467	OSC	TcBAS	triterpenoid	β-amyrin	β-amyrin synthase		UWT50620.1	35980476	
TP0468	OSC	TcLAS	steroid		lanosterol synthase		UWT50621.1	35980476	
TP0469	OSC	TcCAS	steroid		cycloartenol synthase		UWT50622.1	35980476	
TP0470	OSC	TwOSC1	triterpenoid	friedelin	friedelin synthase	A0A499QXI7		30895623	
TP0471	OSC	TwOSC2	triterpenoid	β-amyrin	β-amyrin synthase	A0A499QKY4		30895623	
TP0472	OSC	TwOSC3	triterpenoid	friedelin	friedelin synthase	A0A499QSC3		30895623	
TP0473	OSC	TwOSC4	steroid		cycloartenol synthase	A0A7G1AHR3		31838574	
TP0474	OSC	TwOSC6	steroid		cycloartenol synthase	A0A7G1AJD4		31838574	
TP0475	OSC	TwOSC8	triterpenoid	β-amyrin	β-amyrin synthase	A0A7G3GNZ9		31838574	
TP0476	OSC	AeAS	triterpenoid	β-amyrin	β-amyrin synthase	D9IXA8		22911600	
TP0477	OSC	BcBAS	triterpenoid	β-amyrin	β-amyrin synthase	A0A6G6CCP2			doi:10.32615/bp.2020.008
TP0478	OSC	BcBAS1	triterpenoid	β-amyrin	β-amyrin synthase	A0A977SQB2		36160316	
TP0479	OSC	CsOSC2	triterpenoid	β-amyrin	β-amyrin synthase		XP_024957905.1	31371503	
TP0480	OSC	CsOSC3	triterpenoid	lupeol	lupeol synthase		XP_015382484.1	31371503	
TP0481	OSC	CbβAS	triterpenoid	β-amyrin	β-amyrin synthase	A0A2P0VE73		28979844	
TP0482	OSC	GsAS1	triterpenoid	β-amyrin	β-amyrin synthase	C1K2M2		19420748	
TP0483	OSC	GmBAS1	triterpenoid	β-amyrin	β-amyrin synthase	A0A0R0J895		21630021	
TP0484	OSC	KsBAS	triterpenoid	β-amyrin	β-amyrin synthase	A0A0S2IHL6		29186583	
